City01_Mateus#001,"You're not from here, are you? I can smell the pee sliding across your thighs, you dumbfuck."
CoolPalace01_Guard#001,Good morning.
ShadowRealm09_DevilHimself#001,Fuck.
Banana01_Cu#001,mama
Banana01_Cu#002,papa
Banana01_Cu#003,shit
Banana01_Cu#004,ass
Banana01_Cu#005,lazyness
Banana01_Cu#006,mistery
Banana01_Cu#007,shining
Banana01_Cu#008,justice
Banana01_Cu#009,love
Banana01_Cu#010,clock
Banana01_Cu#011,energy
Banana01_Cu#012,drink
Banana01_Cu#013,cool
Banana01_Cu#014,poop
Banana01_Cu#015,apple
Banana01_Cu#016,grape
Banana01_Cu#017,speed
Banana01_Cu#018,orange
Banana01_Cu#019,seed
Banana01_Cu#020,sheet